Date,Portfolio_Return
2024-10-02,-0.0011820981077915083
2024-10-03,-0.004558585870662758
2024-10-04,0.007308072571338701
2024-10-07,-0.008060373940175905
2024-10-08,0.003035628922235884
2024-10-09,0.0071051254086329195
2024-10-10,-0.003819666538524375
2024-10-11,0.00992198082012405
2024-10-14,0.006786618329263456
2024-10-15,-0.003714423517949908
2024-10-16,0.006220012492073685
2024-10-17,-0.0016404558420472567
2024-10-18,0.0030721837523698422
2024-10-21,-0.008500521028481721
2024-10-22,-0.004271750174318285
2024-10-23,-0.0035005743326195203
2024-10-24,0.00035598277255877555
2024-10-25,-0.004434724018058561
2024-10-28,0.005355601441874861
2024-10-29,-0.003164879171635168
2024-10-30,-0.0010476754223045649
